Chamber,District,Name,City,County,BUILD
Senate,1,Javier Cervantes,Chicago,Cook,Chief Sponsor
Senate,2,Omar Aquino,Chicago,Cook,
Senate,3,Mattie Hunter,Chicago,Cook,Chief Sponsor
Senate,4,Kimberly A. Lightford,Maywood,Cook,
Senate,5,Lakesia Collins,Chicago,Cook,
Senate,6,Sara Feigenholtz,Chicago,Cook,Chief Sponsor
Senate,7,Mike Simmons,Chicago,Cook,
Senate,8,Ram Villivalam,Chicago,Cook,
Senate,9,Laura Fine,Glenview,Cook,
Senate,10,Robert Martwick,Chicago,Cook,
Senate,11,Mike Porfirio,Bridgeview,Cook,
Senate,12,Celina Villanueva,Chicago,Cook,
Senate,13,Robert Peters,Chicago,Cook,Chief Sponsor
Senate,14,Emil Jones III,Chicago,Cook,
Senate,15,Napoleon Harris,Harvey,Cook,
Senate,16,Willie Preston,Chicago,Cook,
Senate,17,Elgie Sims,Chicago,Cook,
Senate,18,William Cunningham,Chicago,Cook,
Senate,19,Michael Hastings,Tinley Park,Cook,
Senate,20,Graciela Guzmán,Chicago,Cook,
Senate,21,Laura Ellman,Lisle,DuPage,Chief Sponsor
Senate,22,Cristina Castro,Elgin,Kane,Chief Sponsor
Senate,23,Suzy Glowiak,Western Springs,Cook,
Senate,25,Karina Villa,West Chicago,DuPage,
Senate,27,Mark L. Walker,Arlington Heights,Cook,Co-Sponsor
Senate,28,Laura Murphy,Des Plaines,Cook,
Senate,29,Julie Morrison,Deerfield,Lake,
Senate,30,Adriane Johnson,Buffalo Grove,Lake,Chief Sponsor
Senate,31,Mary Edly-Allen,Libertyville,Lake,
Senate,34,Steve Stadelman,Rockford,Winnebago,
Senate,36,Michael Halpin,Rock Island,Rock Island,Co-Sponsor
Senate,39,Don Harmon,Oak Park,Cook,
Senate,40,Patrick Joyce,Kankakee,Kankakee,
Senate,42,Linda Holmes,Aurora,Kane,
Senate,43,Rachel Ventura,Joliet,Will,
Senate,46,Dave Koehler,Peoria,Peoria,Chief Sponsor
Senate,48,Doris Turner,Springfield,Sangamon,
Senate,49,Meg Loughran Cappel,Shorewood,Will,
Senate,52,Paul Faraci,Champaign,Champaign,
Senate,57,Christopher Belt,Cahokia Heights,St. Clair,
House,1,Aaron Ortiz,Chicago,Cook,
House,2,Elizabeth Hernandez,Cicero,Cook,
House,3,Eva-Dina Delgado,Chicago,Cook,
House,4,Lilian Jiménez,Chicago,Cook,
House,5,Kimberly du Buclet,Chicago,Cook,
House,6,Sonya Harper,Chicago,Cook,
House,7,Emanuel Chris Welch,Hillside,Cook,
House,8,La Shawn Ford,Chicago,Cook,
House,9,Yolonda Morris,Chicago,Cook,
House,10,Jawaharial Williams,Chicago,Cook,
House,11,Ann Williams,Chicago,Cook,
House,12,Margaret Croke,Chicago,Cook,
House,13,Hoan Huynh,Chicago,Cook,
